topic_id,original [redacted],topic,context,position,slant,output
0,,the decision to prosecute President Trump for obstruction of justice,as a result of the Mueller Report,support,Democratic,"Fight for justice! Democratic lawmakers need to push past the ""witch hunt"" and impeach President Trump

The decision to prosecute President Trump for obstruction of justice has been one of the most controversial decisions this year. Following the release of Mueller's findings on obstruction, Democrats are finally pushing past the ""witch hunt"" and impeachment proceedings. In his report, Mueller identifies 10 instances when Trump may have obstructed justice. Many members of the Republican party have been eager to push past the ""witch hunt"" and continue with their agenda. They are not concerned about the implications of charging Donald Trump with obstruction of justice, but that it would be a victory for those who are ""enemies of the people."" The Democrats are hesitant to seek impeachment proceedings but it is their responsibility to ensure that the final verdict on obstruction is not a sad day for America."
0,,the decision to prosecute President Trump for obstruction of justice,as a result of the Mueller Report,support,Democratic,"Democrats have a duty to pursue Trump's impeachment

Democrats have a clear duty to pursue the impeachment of President Trump in order to provide for the safety of the American people. Without a president who is not beholden to the Russian government, the American people will be unable to trust their president. It is absolutely imperative that Congress move forward with this matter immediately in order to ensure that America has a leader who can be trusted and believed.

The Mueller report reflects that President Trump has attempted multiple times to impede investigations into possible Russian collusion. From his firing of former FBI Director James Comey, to his order to White House Counsel Don McGahn, who was directed to tell Mueller to limit the investigation, President Trump has done nothing but hinder the investigations into potential collusion with Russia. With this amount of interference from the president, it is up to Congress to decide what should be done. If they do not pursue this matter or prolong the investigation, it will leave the American people unsafe and open to espionage and"
0,,the decision to prosecute President Trump for obstruction of justice,as a result of the Mueller Report,oppose,Republican,"Republican Party Calls For President Trump To Be Cleared Of Obstruction Charges

The Republican Party has quickly come to the defense of President Trump after he was cleared of obstruction charges in the Trump-Russia collusion investigation. In a statement, Senate Majority Leader Mitch McConnell said, ""It's time we move on,"" and that ""too much time has been spent on baseless speculation and unfair 'what-aboutism.'"" House Majority Leader Kevin McCarthy agreed, saying that ""investigators would be wise to put their attention on other matters.""

Some conservative pundits are even calling for Mueller's resignation. Dan Bongino has said that Mueller had ""no business"" overseeing the investigation due to his talk of impeaching Trump in public speeches and consultant work for a law firm representing figures in the probe. Former House Speaker Newt Gingrich has also criticized special counsel Robert Mueller, saying that he has ""no interest"" in finding the truth, and that his ""jurisdiction must end.""

The Republican Party"
0,,the decision to prosecute President Trump for obstruction of justice,as a result of the Mueller Report,oppose,Republican,"""The GOP Shouldn't Protect President Trump From His Own Bad Behavior""

In recent weeks, the White House has been shaken by confusion and conflict. After a handful of staff members resigned following allegations of domestic abuse, the president controversially fired FBI Director James Comey, who had been spearheading a probe into accusations that Trump's campaign may have colluded with Russia during the 2016 presidential election.

Democrats are now calling for the president to be impeached from office, while Republicans are eager to push past what Trump calls the ""witch hunt"" of this probe and turn their attention to tax reform.
However, while Republicans would like to continue to shield President Trump from any potential consequences stemming from his bad behavior, this course of action would be dangerous for the GOP.
The GOP should use this opportunity to initiate an investigation into allegations against the president. Doing so will not only reassure their constituents that they are doing all they can to keep the country from descending into chaos, but will also"
1,,China's handling of the recent coronavirus outbreak,,critize,anti-China,"China Fails to Protect Citizens From Epidemic

Article: It took Chinese authorities at least two weeks after their genetic map was published to give World Health Organization the details it needed. The Chinese government has responded to this epidemic with half-hearted efforts, taking two weeks to release a genetic map of the virus that infected four patients. This is not the first time China has come under fire for a slow response, with China facing criticism for a slow response to its influenza pandemic in 2013. Problems with China's national health system slowed responses this time around, with many hospitals operating at below-standard levels and even rural areas lacking access to clean water or sanitary living conditions. For China's people, the recent coronavirus outbreak means that their government has failed to protect them from this virus."
1,,China's handling of the recent coronavirus outbreak,,critize,anti-China,"China's handling of the recent coronavirus outbreak leaves much to be desired

Article: China's initial response to the coronavirus outbreak was slow and less than open. When they finally released information on the virus, it was incomplete. The public had to wait for another lab to publish the gene sequence before China revealed the information. Given the amount of time and effort China has put into censoring it's internet, it is no surprise that they would only release partial information in an attempt to limit information on the virus. China has also been known to restrict what information is released to WHO, which may have helped the virus spread.

When faced with a difficult decision, China typically takes too long to act due to their desire to keep information close to their chest. They are also not open with information, even with WHO, which may have helped the virus spread. China's handling of the recent coronavirus outbreak leaves much to be desired."
1,,China's handling of the recent coronavirus outbreak,,defend,pro-China,"China's Handling of the Recent Coronavirus Outbreak, a Slant for the Defense

Article: China has been working tirelessly to combat the recent coronavirus outbreak. The World Health Organization (WHO) has publicly praised China for what it called a speedy response to the new coronavirus. In reality, Chinese officials sat on releasing the genetic map of the virus for over a week after multiple government labs had fully decoded it. This was largely due to strict controls on information and competition within the Chinese public health system. Health officials only released the genome after a Chinese lab published it ahead of authorities on a virology website on Jan 11. Even then, China stalled for at least two weeks more on giving WHO the details it needed. Despite these minor hiccups, China is doing all it can to combat the new coronavirus and minimize its impact on the country."
1,,China's handling of the recent coronavirus outbreak,,defend,pro-China,"China remains to be a stalwart in the fight against new coronavirus
Article: China's handling of the recent coronavirus outbreak has been exemplary. Their prompt response, followed by transparency and quick sharing of data with the World Health Organization, is a testament to their continued commitment to being a stalwart in the fight against the disease. The article would also talk about China's ability to protect its citizens through their strict regulations on information and sharing the data they do have.

Headline: Incompetent Western Bureaucrat Infects Chinese with New Coronavirus 
Article: China has been criticized for not sharing genetic map data for the virus promptly. However, China is one of a few countries to have had a lab publish this information before they gave it to WHO, as a means of keeping up with Chinese lab's work. While other developing countries have been struggling with the virus and citizens are dying at an alarming rate, China has managed to keep it's people"
2,,coronavirus lockdowns,", which some states are using to fight the coronavirus pandemic",support,Democratic,"""Democratic-leaning government calls for coronavirus lockdowns""

Article: The National Democratic Party of the United States has urged its citizens to stay home when possible and to comply with the coronavirus lockdowns that have been set in place. The National Democratic Party's President, Jason Carter, has shown great concern for the spreading disease. 
The National Democratic Party is asking citizens to be patient and not blame the government for their woes. 
""We are all in this together, and we need to work together to keep ourselves safe,"" said President Carter. 
The National Democratic Party has encouraged citizens to stay off the roads and out of public places so that the virus can not spread any farther. 
The National Democratic Party has urged its citizens to follow all orders given by their local officials and the state and federal governments so that we can all remain safe."
2,,coronavirus lockdowns,", which some states are using to fight the coronavirus pandemic",support,Democratic,"Protect Our Nation's Economy

States will soon decide to reopen their businesses. However, with the recent outbreak of SARS, it becomes a difficult decision. The decision is made even more difficult with the risk of the coronavirus resurfacing after opening, and we need to protect our economy.

Each state is approaching the decision differently. Some states are closing their businesses permanently, and some are allowing only certain businesses to reopen. However, this is not the only approach. One state has closed all residential schools but opened businesses and cultural sites. 

The decision each state makes will have economic ramifications.

This set of facts about coronavirus lockdowns is written from a strongly Democratic slant. The article emphasizes protecting the economy while acknowledging that it is a difficult decision to make."
